,location,stdt,eddt,damagearea
0,경기평택,2019-08-26,2019-08-26,0.01
1,경기포천,2019-09-29,2019-09-30,0.16
2,경기평택,2019-10-12,2019-10-12,0.03
3,경기안양,2019-10-19,2019-10-19,0.01
4,경기가평,2019-11-07,2019-11-07,0.25
5,경기남양주,2019-11-09,2019-11-09,0.01
6,경기성남,2019-11-21,2019-11-21,0.01
7,경기양평,2019-11-28,2019-11-28,0.09
8,경기광주,2019-11-28,2019-11-28,0.1
9,경기파주,2019-11-29,2019-11-29,0.01
10,경기광주,2019-12-02,2019-12-02,0.01
11,경기광주,2019-12-28,2019-12-28,0.33
12,경기포천,2019-12-29,2019-12-29,0.01
13,경기성남,2019-03-31,2019-03-31,0.01
14,경기남양주,2019-04-02,2019-04-02,0.05
15,경기가평,2019-04-02,2019-04-02,0.6
16,경기포천,2019-04-02,2019-04-02,1.0
17,경기안성,2019-04-03,2019-04-03,0.05
18,경기가평,2019-04-03,2019-04-03,3.5
19,경기양평,2019-04-03,2019-04-03,0.14
20,경기포천,2019-04-04,2019-04-04,0.2
21,경기파주,2019-04-04,2019-04-04,2.0
22,경기남양주,2019-04-04,2019-04-04,0.02
23,경기연천,2019-04-04,2019-04-04,0.3
24,경기용인,2019-04-04,2019-04-04,0.1
25,경기고양,2019-04-05,2019-04-05,1.0
26,경기고양,2019-04-07,2019-04-07,0.04
27,경기평택,2019-04-07,2019-04-07,0.01
28,경기이천,2019-04-08,2019-04-08,0.06
29,경기성남,2019-04-08,2019-04-08,0.6
30,경기안성,2019-04-08,2019-04-08,0.03
31,경기하남,2019-04-08,2019-04-08,0.09
32,경기평택,2019-04-09,2019-04-09,1.5
33,경기포천,2019-04-09,2019-04-09,0.16
34,경기가평,2019-04-09,2019-04-09,0.7
35,경기양평,2019-04-13,2019-04-13,0.02
36,경기평택,2019-04-13,2019-04-13,0.03
37,경기남양주,2019-04-13,2019-04-13,0.06
38,경기고양,2019-04-15,2019-04-15,0.01
39,경기김포,2019-04-16,2019-04-16,0.04
40,경기가평,2019-04-17,2019-04-17,0.1
41,경기시흥,2019-04-17,2019-04-17,0.02
42,경기포천,2021-02-12,2021-02-12,0.02
43,경기용인,2021-02-12,2021-02-12,0.02
44,경기양평,2021-02-12,2021-02-12,0.06
45,경기파주,2021-02-12,2021-02-12,0.02
46,경기여주,2021-02-14,2021-02-14,0.06
47,경기용인,2021-02-15,2021-02-15,0.08
48,경기의정부,2021-02-23,2021-02-23,0.01
49,경기포천,2021-02-23,2021-02-23,0.03
50,경기광주,2021-02-23,2021-02-23,0.66
51,경기성남,2021-02-25,2021-02-25,0.03
52,경기포천,2021-02-26,2021-02-26,0.03
53,경기화성,2021-02-26,2021-02-26,0.06
54,경기용인,2021-02-26,2021-02-26,0.05
55,경기연천,2021-02-26,2021-02-26,1.5
56,경기화성,2021-02-27,2021-02-27,0.1
57,경기시흥,2021-02-27,2021-02-27,0.06
58,경기양평,2021-02-27,2021-02-27,0.1
59,경기광주,2021-02-27,2021-02-27,0.16
60,경기고양,2021-02-27,2021-02-27,0.1
61,경기양평,2021-02-28,2021-02-28,0.05
62,경기의왕,2021-03-07,2021-03-07,0.01
63,경기포천,2021-03-10,2021-03-10,0.5
64,경기광주,2021-03-14,2021-03-14,0.01
65,경기화성,2021-03-15,2021-03-15,0.4
66,경기파주,2021-03-15,2021-03-15,0.3
67,경기오산,2021-03-17,2021-03-17,0.2
68,경기여주,2021-03-19,2021-03-19,0.05
69,경기파주,2021-03-19,2021-03-19,0.7
70,경기여주,2021-03-20,2021-03-20,0.2
71,경기안산,2021-03-21,2021-03-21,0.04
72,경기포천,2021-03-23,2021-03-23,0.05
73,경기광주,2021-03-25,2021-03-25,0.1
74,경기용인,2021-03-26,2021-03-26,0.01
75,경기용인,2021-03-26,2021-03-26,0.03
76,경기남양주,2021-01-01,2021-01-01,0.03
77,경기광주,2021-01-01,2021-01-01,0.07
78,경기파주,2021-01-02,2021-01-02,0.03
79,경기고양,2021-01-02,2021-01-02,0.01
80,경기포천,2021-01-03,2021-01-03,0.03
81,경기의정부,2021-01-05,2021-01-05,0.05
82,경기양평,2021-01-06,2021-01-06,0.01
83,경기김포,2021-01-06,2021-01-06,0.02
84,경기파주,2021-11-04,2021-11-04,0.03
85,경기화성,2021-11-05,2021-11-05,0.03
86,경기안양,2021-11-06,2021-11-06,0.03
87,경기평택,2021-11-07,2021-11-07,0.1
88,경기고양,2021-12-04,2021-12-04,0.03
89,경기포천,2021-02-12,2021-02-12,0.02
90,경기연천,2019-04-17,2019-04-17,0.02
91,경기안성,2019-04-17,2019-04-17,2.0
92,경기양평,2019-04-17,2019-04-17,0.12
93,경기양평,2019-04-17,2019-04-17,0.09
94,경기연천,2019-04-19,2019-04-19,0.03
95,경기성남,2019-04-19,2019-04-19,0.01
96,경기양평,2019-04-20,2019-04-20,0.06
97,경기평택,2019-04-20,2019-04-20,0.06
98,경기양평,2019-04-21,2019-04-21,0.3
99,경기시흥,2019-04-22,2019-04-22,0.02
100,경기남양주,2019-04-22,2019-04-22,0.02
101,경기광주,2019-04-23,2019-04-23,0.01
102,경기연천,2019-05-02,2019-05-02,0.01
103,경기고양,2019-05-03,2019-05-03,0.5
104,경기광주,2019-05-04,2019-05-04,0.01
105,경기양평,2019-05-06,2019-05-06,0.15
106,경기동두천,2019-05-07,2019-05-07,0.09
107,경기포천,2019-05-07,2019-05-07,1.0
108,경기여주,2019-05-07,2019-05-07,1.5
109,경기가평,2019-05-07,2019-05-07,0.01
110,경기화성,2019-05-08,2019-05-08,0.09
111,경기고양,2019-05-08,2019-05-08,0.01
112,경기가평,2019-05-08,2019-05-08,0.01
113,경기파주,2019-05-09,2019-05-09,0.01
114,경기화성,2019-05-10,2019-05-10,0.06
115,경기화성,2019-05-11,2019-05-11,0.09
116,경기화성,2019-05-11,2019-05-11,0.06
117,경기동두천,2019-05-11,2019-05-11,2.0
118,경기양평,2019-05-11,2019-05-11,0.02
119,경기가평,2019-05-11,2019-05-11,0.2
120,경기남양주,2019-05-12,2019-05-12,0.01
121,경기파주,2019-05-12,2019-05-12,0.08
122,경기평택,2019-05-13,2019-05-13,0.02
123,경기평택,2019-05-13,2019-05-13,0.01
124,경기양평,2019-05-14,2019-05-14,0.15
125,경기남양주,2019-05-15,2019-05-15,0.01
126,경기남양주,2019-05-17,2019-05-17,0.01
127,경기수원,2019-05-18,2019-05-18,0.04
128,경기안산,2019-05-18,2019-05-18,0.1
129,경기가평,2019-05-18,2019-05-18,0.01
130,경기여주,2019-05-22,2019-05-22,0.5
131,경기파주,2019-05-24,2019-05-24,0.05
132,경기이천,2019-05-26,2019-05-26,0.01
133,경기가평,2019-05-29,2019-05-29,0.02
134,경기남양주,2019-06-03,2019-06-03,0.1
135,경기안성,2019-06-04,2019-06-04,0.03
136,경기성남,2019-06-04,2019-06-04,0.01
137,경기화성,2019-06-25,2019-06-25,0.09
138,경기남양주,2019-07-04,2019-07-04,0.1
139,경기성남,2019-07-08,2019-07-08,0.03
140,경기하남,2019-07-08,2019-07-08,0.03
141,경기포천,2019-07-09,2019-07-09,0.2
142,경기남양주,2021-01-01,2021-01-01,0.03
143,경기광주,2021-01-01,2021-01-01,0.07
144,경기파주,2021-01-02,2021-01-02,0.03
145,경기고양,2021-01-02,2021-01-02,0.01
146,경기포천,2021-01-03,2021-01-03,0.03
147,경기의정부,2021-01-05,2021-01-05,0.05
148,경기남양주,2021-01-01,2021-01-01,0.03
149,경기광주,2021-01-01,2021-01-01,0.07
150,경기파주,2021-01-02,2021-01-02,0.03
151,경기고양,2021-01-02,2021-01-02,0.01
152,경기포천,2021-01-03,2021-01-03,0.03
153,경기의정부,2021-01-05,2021-01-05,0.05
154,경기양평,2021-01-06,2021-01-06,0.01
155,경기김포,2021-01-06,2021-01-06,0.02
156,경기파주,2021-11-04,2021-11-04,0.03
157,경기화성,2021-11-05,2021-11-05,0.03
158,경기안양,2021-11-06,2021-11-06,0.03
159,경기평택,2021-11-07,2021-11-07,0.1
160,경기고양,2021-12-04,2021-12-04,0.03
161,경기포천,2021-02-12,2021-02-12,0.02
162,경기용인,2021-02-12,2021-02-12,0.02
163,경기양평,2021-02-12,2021-02-12,0.06
164,경기파주,2021-02-12,2021-02-12,0.02
165,경기남양주,2021-01-01,2021-01-01,0.03
166,경기광주,2021-01-01,2021-01-01,0.07
167,경기파주,2021-01-02,2021-01-02,0.03
168,경기고양,2021-01-02,2021-01-02,0.01
169,경기포천,2021-01-03,2021-01-03,0.03
170,경기의정부,2021-01-05,2021-01-05,0.05
171,경기양평,2021-01-06,2021-01-06,0.01
172,경기김포,2021-01-06,2021-01-06,0.02
173,경기파주,2021-11-04,2021-11-04,0.03
174,경기화성,2021-11-05,2021-11-05,0.03
175,경기안양,2021-11-06,2021-11-06,0.03
176,경기평택,2021-11-07,2021-11-07,0.1
177,경기고양,2021-12-04,2021-12-04,0.03
178,경기광주,2019-01-03,2019-01-03,0.05
179,경기평택,2019-01-07,2019-01-07,0.01
180,경기남양주,2019-01-07,2019-01-07,0.2
181,경기양평,2019-01-08,2019-01-08,0.8
182,경기파주,2019-01-09,2019-01-09,0.02
183,경기이천,2019-01-09,2019-01-09,0.1
184,경기하남,2019-11-05,2019-11-05,0.2
185,경기파주,2019-12-02,2019-12-02,0.04
186,경기안성,2019-12-03,2019-12-03,0.33
187,경기파주,2019-12-04,2019-12-04,0.08
188,경기가평,2019-12-04,2019-12-05,5.0
189,경기포천,2019-12-06,2019-12-06,0.03
190,경기평택,2019-12-06,2019-12-06,0.02
191,경기화성,2019-12-07,2019-12-07,0.01
192,경기연천,2019-12-07,2019-12-07,0.2
193,경기구리,2019-12-08,2019-12-08,1.45
194,경기안산,2019-12-08,2019-12-08,0.02
195,경기용인,2019-12-08,2019-12-08,0.18
196,경기화성,2019-12-09,2019-12-09,0.16
197,경기광주,2019-12-09,2019-12-09,0.04
198,경기파주,2019-01-31,2019-01-31,0.05
199,경기남양주,2019-02-01,2019-02-01,0.01
200,경기구리,2019-02-07,2019-02-07,0.01
201,경기동두천,2019-02-08,2019-02-08,0.86
202,경기여주,2019-02-10,2019-02-10,0.12
203,경기시흥,2019-02-11,2019-02-11,0.06
204,경기파주,2019-02-13,2019-02-13,0.02
205,경기오산,2019-02-13,2019-02-13,0.15
206,경기동두천,2019-02-14,2019-02-14,0.8
207,경기하남,2019-02-14,2019-02-14,0.01
208,경기포천,2019-02-23,2019-02-23,0.2
209,경기남양주,2019-02-23,2019-02-23,0.09
210,경기성남,2019-02-26,2019-02-26,0.01
211,경기남양주,2019-02-26,2019-02-26,0.03
212,경기구리,2019-03-01,2019-03-01,0.03
213,경기광주,2019-03-02,2019-03-02,0.05
214,경기남양주,2019-03-02,2019-03-02,0.16
215,경기양주,2019-03-02,2019-03-03,0.2
216,경기양평,2019-03-03,2019-03-03,0.06
217,경기하남,2019-03-03,2019-03-03,0.01
218,경기평택,2019-03-03,2019-03-03,0.01
219,경기가평,2019-03-03,2019-03-03,0.1
220,경기양주,2019-03-03,2019-03-03,0.03
221,경기양주,2019-03-04,2019-03-04,0.06
222,경기과천,2019-03-04,2019-03-05,0.1
223,경기포천,2019-03-05,2019-03-05,1.0
224,경기성남,2019-03-06,2019-03-06,0.01
225,경기화성,2019-03-06,2019-03-06,0.06
226,경기안산,2019-03-07,2019-03-07,0.03
227,경기연천,2019-03-07,2019-03-07,0.3
228,경기고양,2019-03-07,2019-03-07,0.01
229,경기양평,2019-03-07,2019-03-07,0.15
230,경기양평,2019-03-08,2019-03-08,0.03
231,경기가평,2019-03-08,2019-03-08,0.1
232,경기성남,2019-03-08,2019-03-08,0.1
233,경기안성,2019-03-08,2019-03-08,0.01
234,경기광주,2019-03-08,2019-03-09,0.04
235,경기군포,2019-03-09,2019-03-09,0.02
236,경기포천,2019-03-09,2019-03-09,0.08
237,경기평택,2019-03-09,2019-03-09,0.06
238,경기포천,2019-03-09,2019-03-09,0.3
239,경기이천,2019-03-10,2019-03-10,0.03
240,경기포천,2019-03-13,2019-03-13,0.16
241,경기고양,2019-03-13,2019-03-13,0.2
242,경기양평,2019-03-13,2019-03-13,0.15
243,경기파주,2019-03-13,2019-03-13,0.08
244,경기남양주,2019-03-14,2019-03-14,0.03
245,경기안산,2019-03-17,2019-03-17,0.01
246,경기평택,2019-03-18,2019-03-18,0.03
247,경기연천,2019-03-19,2019-03-19,0.03
248,경기가평,2019-03-19,2019-03-19,1.0
249,경기안성,2019-03-19,2019-03-19,0.03
250,경기구리,2019-03-24,2019-03-24,0.05
251,경기고양,2019-03-27,2019-03-27,0.01
252,경기시흥,2019-03-28,2019-03-28,0.1
253,경기양평,2019-03-28,2019-03-28,0.15
254,경기광주,2019-03-29,2019-03-29,0.67
255,경기남양주,2019-03-29,2019-03-29,0.3
256,경기용인,2021-02-12,2021-02-12,0.02
257,경기화성,2020-03-22,2020-03-22,0.1
258,경기동두천,2020-03-22,2020-03-22,0.2
259,경기파주,2020-03-22,2020-03-22,0.3
260,경기이천,2020-03-22,2020-03-22,0.3
261,경기광주,2020-03-23,2020-03-23,0.06
262,경기양평,2020-03-23,2020-03-23,1.0
263,경기양평,2020-03-23,2020-03-23,0.01
264,경기용인,2020-03-23,2020-03-23,0.16
265,경기화성,2020-03-24,2020-03-24,0.05
266,경기포천,2020-03-24,2020-03-24,0.5
267,경기화성,2020-03-24,2020-03-24,0.03
268,경기광주,2020-03-24,2020-03-24,0.01
269,경기수원,2020-03-24,2020-03-24,0.01
270,경기포천,2020-03-25,2020-03-25,0.5
271,경기안성,2020-03-25,2020-03-25,0.1
272,경기여주,2020-03-25,2020-03-25,0.06
273,경기여주,2020-03-25,2020-03-25,0.05
274,경기남양주,2020-03-25,2020-03-25,0.02
275,경기포천,2020-03-25,2020-03-25,0.05
276,경기남양주,2020-03-26,2020-03-26,0.33
277,경기광주,2020-03-26,2020-03-26,0.02
278,경기오산,2020-03-28,2020-03-28,0.01
279,경기안양,2020-03-28,2020-03-28,0.08
280,경기고양,2020-03-29,2020-03-29,0.04
281,경기화성,2020-03-29,2020-03-29,0.1
282,경기파주,2020-03-29,2020-03-29,0.03
283,경기가평,2020-03-29,2020-03-29,0.28
284,경기가평,2020-03-29,2020-03-29,0.54
285,경기양평,2020-03-30,2020-03-30,1.0
286,경기하남,2020-03-30,2020-03-30,0.05
287,경기고양,2020-03-30,2020-03-30,0.03
288,경기평택,2020-04-01,2020-04-01,3.75
289,경기가평,2020-04-01,2020-04-01,0.3
290,경기고양,2020-04-01,2020-04-01,1.0
291,경기파주,2020-04-01,2020-04-01,0.66
292,경기용인,2020-04-01,2020-04-01,0.17
293,경기파주,2020-04-02,2020-04-02,1.65
294,경기의왕,2020-04-02,2020-04-02,0.46
295,경기평택,2020-04-02,2020-04-03,0.01
296,경기가평,2020-04-03,2020-04-03,0.11
297,경기여주,2020-04-03,2020-04-03,0.03
298,경기파주,2020-04-04,2020-04-04,0.06
299,경기의왕,2020-04-04,2020-04-04,1.0
300,경기남양주,2020-04-04,2020-04-04,6.2
301,경기시흥,2020-04-04,2020-04-04,0.05
302,경기양평,2020-04-05,2020-04-05,0.09
303,경기파주,2020-04-05,2020-04-05,0.2
304,경기화성,2020-04-05,2020-04-05,0.2
305,경기광주,2020-04-05,2020-04-05,2.7
306,경기파주,2020-04-05,2020-04-05,0.1
307,경기양주,2020-04-05,2020-04-05,0.01
308,경기시흥,2020-04-06,2020-04-06,0.03
309,경기남양주,2020-04-06,2020-04-06,0.1
310,경기의왕,2020-04-06,2020-04-06,0.06
311,경기파주,2020-04-07,2020-04-07,0.03
312,경기의왕,2020-04-08,2020-04-08,0.13
313,경기연천,2020-04-08,2020-04-08,0.1
314,경기파주,2020-04-08,2020-04-08,0.5
315,경기안양,2020-04-09,2020-04-09,0.64
316,경기남양주,2020-04-09,2020-04-09,1.0
317,경기여주,2020-04-09,2020-04-09,0.7
318,경기여주,2020-04-10,2020-04-10,0.01
319,경기고양,2020-04-10,2020-04-10,0.09
320,경기남양주,2020-04-10,2020-04-10,0.02
321,경기남양주,2020-04-10,2020-04-10,0.3
322,경기여주,2020-04-11,2020-04-11,0.01
323,경기광주,2020-04-12,2020-04-12,0.06
324,경기평택,2020-04-12,2020-04-12,0.03
325,경기광주,2020-04-12,2020-04-12,0.06
326,경기고양,2020-04-12,2020-04-12,0.06
327,경기평택,2020-04-13,2020-04-13,0.05
328,경기남양주,2020-04-13,2020-04-13,0.1
329,경기오산,2020-04-13,2020-04-13,0.01
330,경기가평,2020-04-13,2020-04-13,2.75
331,경기남양주,2020-04-14,2020-04-14,0.5
332,경기남양주,2020-04-14,2020-04-14,0.7
333,경기수원,2020-04-14,2020-04-14,3.56
334,경기시흥,2020-04-14,2020-04-14,0.13
335,경기과천,2020-04-14,2020-04-14,0.07
336,경기용인,2020-04-08,2020-04-08,0.09
337,경기광주,2020-04-14,2020-04-14,0.01
338,경기평택,2020-04-15,2020-04-15,0.25
339,경기평택,2020-04-15,2020-04-15,0.03
340,경기안성,2020-04-15,2020-04-15,0.1
341,경기안성,2020-04-15,2020-04-15,0.02
342,경기여주,2020-04-15,2020-04-16,0.1
343,경기화성,2020-04-16,2020-04-16,0.01
344,경기군포,2020-04-16,2020-04-16,0.03
345,경기시흥,2020-04-16,2020-04-16,0.15
346,경기화성,2020-04-18,2020-04-18,0.01
347,경기화성,2020-04-18,2020-04-18,0.01
348,경기여주,2020-04-22,2020-04-22,0.01
349,경기포천,2020-04-26,2020-04-26,0.5
350,경기여주,2020-04-26,2020-04-26,0.01
351,경기군포,2020-04-26,2020-04-26,0.33
352,경기연천,2020-04-27,2020-04-27,0.1
353,경기가평,2020-04-27,2020-04-27,0.02
