,location,stdt,eddt,damagearea
707,경기구리,2015-06-07,2015-06-07,0.01
708,경기포천,2015-06-08,2015-06-08,0.3
709,경기포천,2015-06-08,2015-06-08,0.01
710,경기안양,2015-06-19,2015-06-19,0.02
711,경기화성,2015-06-23,2015-06-23,0.12
712,경기오산,2017-04-30,2017-04-30,0.7
713,경기화성,2017-04-30,2017-04-30,0.1
714,경기연천,2017-04-30,2017-04-30,0.1
715,경기양평,2017-05-01,2017-05-01,0.1
716,경기가평,2017-05-02,2017-05-02,0.2
717,경기양평,2017-05-02,2017-05-02,0.2
718,경기가평,2017-05-03,2017-05-03,0.5
719,경기파주,2017-05-03,2017-05-03,0.2
720,경기여주,2017-05-03,2017-05-03,0.5
721,경기파주,2017-05-03,2017-05-03,0.01
722,경기남양주,2017-05-06,2017-05-06,0.5
723,경기화성,2017-05-06,2017-05-06,0.06
724,경기화성,2017-05-06,2017-05-06,0.5
725,경기안양,2017-05-06,2017-05-06,0.1
726,경기김포,2017-05-06,2017-05-06,1.0
727,경기화성,2017-05-06,2017-05-06,0.13
728,경기수원,2014-02-26,2014-02-26,0.5
729,경기동두천,2014-02-27,2014-02-27,0.2
730,경기안성,2015-09-08,2015-09-08,0.06
731,경기화성,2015-09-15,2015-09-15,0.01
732,경기광주,2015-09-21,2015-09-21,0.02
733,경기화성,2015-09-24,2015-09-24,0.01
734,경기양주,2015-09-26,2015-09-26,0.2
735,경기안양,2015-09-27,2015-09-27,0.01
736,경기남양주,2015-09-28,2015-09-28,0.01
737,경기파주,2015-09-29,2015-09-29,0.1
738,경기안양,2015-09-29,2015-09-29,0.01
739,경기파주,2015-10-05,2015-10-05,0.2
740,경기수원,2015-10-06,2015-10-06,0.01
741,경기양주,2015-10-08,2015-10-08,0.03
742,경기의정부,2015-10-10,2015-10-10,0.1
743,경기안양,2017-05-07,2017-05-07,0.03
744,경기화성,2017-05-23,2017-05-23,0.01
745,경기구리,2017-05-27,2017-05-27,0.01
746,경기고양,2017-05-27,2017-05-27,0.03
747,경기시흥,2014-03-23,2014-03-23,0.1
748,경기연천,2014-03-28,2014-03-28,0.01
749,경기과천,2015-10-17,2015-10-18,0.3
750,경기양평,2015-11-03,2015-11-03,0.3
751,경기성남,2016-01-05,2016-01-05,0.1
752,경기남양주,2016-01-10,2016-01-10,0.2
753,경기광주,2016-11-01,2016-11-01,0.03
754,경기이천,2016-11-02,2016-11-02,0.33
755,경기광주,2016-11-05,2016-11-05,0.06
756,경기파주,2016-11-06,2016-11-07,0.5
757,경기양주,2017-06-03,2017-06-03,0.15
758,경기안양,2017-06-05,2017-06-05,0.02
759,경기양주,2017-06-05,2017-06-05,0.33
760,경기평택,2017-06-15,2017-06-15,0.16
761,경기화성,2017-06-17,2017-06-17,0.06
762,경기구리,2017-06-18,2017-06-18,0.01
763,경기가평,2017-06-18,2017-06-18,0.08
764,경기남양주,2017-06-19,2017-06-19,0.06
765,경기시흥,2014-04-05,2014-04-05,0.01
766,경기과천,2014-04-06,2014-04-06,0.12
767,경기하남,2014-04-06,2014-04-06,0.1
768,경기수원,2014-04-06,2014-04-06,0.01
769,경기광주,2014-04-06,2014-04-06,0.1
770,경기광주,2014-04-06,2014-04-06,0.1
771,경기고양,2014-04-08,2014-04-08,0.1
772,경기화성,2014-04-08,2014-04-08,0.1
773,경기남양주,2014-04-08,2014-04-08,0.01
774,경기고양,2014-04-08,2014-04-08,0.02
775,경기양평,2014-04-09,2014-04-09,0.1
776,경기남양주,2016-11-08,2016-11-08,0.2
777,경기부천,2016-12-03,2016-12-03,0.1
778,경기가평,2016-12-04,2016-12-04,0.04
779,경기가평,2016-12-05,2016-12-05,0.01
780,경기용인,2016-12-05,2016-12-05,0.09
781,경기양평,2016-12-07,2016-12-07,0.7
782,경기양평,2016-02-01,2016-02-01,0.5
783,경기남양주,2016-02-03,2016-02-03,0.15
784,경기양평,2016-02-05,2016-02-05,0.5
785,경기동두천,2016-02-05,2016-02-05,0.13
786,경기안성,2016-02-06,2016-02-06,0.01
787,경기가평,2016-02-07,2016-02-07,0.02
788,경기김포,2016-02-09,2016-02-09,0.1
789,경기화성,2016-02-09,2016-02-09,0.2
790,경기광주,2016-02-10,2016-02-10,0.6
791,경기여주,2016-02-10,2016-02-10,0.6
792,경기포천,2016-02-11,2016-02-11,0.8
793,경기안성,2016-02-11,2016-02-11,0.1
794,경기용인,2017-06-20,2017-06-20,0.3
795,경기광주,2017-06-21,2017-06-21,0.01
796,경기양평,2017-06-21,2017-06-21,0.04
797,경기양평,2017-06-23,2017-06-23,0.1
798,경기화성,2017-06-23,2017-06-23,0.3
799,경기하남,2017-11-07,2017-11-07,0.09
800,경기김포,2017-11-08,2017-11-08,0.02
801,경기파주,2017-11-10,2017-11-10,6.5
802,경기양평,2017-11-16,2017-11-16,0.07
803,경기양평,2017-11-16,2017-11-16,0.15
804,경기남양주,2017-11-16,2017-11-16,0.1
805,경기파주,2017-11-17,2017-11-17,0.03
806,경기안산,2014-04-14,2014-04-14,0.5
807,경기가평,2014-04-15,2014-04-15,0.02
808,경기포천,2014-04-20,2014-04-20,0.01
809,경기구리,2014-04-20,2014-04-20,0.01
810,경기가평,2014-04-21,2014-04-21,0.3
811,경기가평,2014-04-22,2014-04-22,0.3
812,경기포천,2014-04-22,2014-04-22,0.1
813,경기가평,2016-02-21,2016-02-21,0.01
814,경기포천,2016-02-21,2016-02-21,0.1
815,경기광주,2016-02-26,2016-02-26,2.7
816,경기양주,2016-02-26,2016-02-26,0.01
817,경기가평,2016-02-27,2016-02-27,0.01
818,경기양주,2016-03-04,2016-03-04,0.06
819,경기광주,2016-03-04,2016-03-04,0.1
820,경기여주,2016-03-14,2016-03-14,0.8
821,경기양주,2016-03-15,2016-03-15,0.2
822,경기양주,2016-03-16,2016-03-16,0.3
823,경기양평,2016-03-16,2016-03-16,0.2
824,경기가평,2016-03-16,2016-03-16,0.1
825,경기안성,2016-03-16,2016-03-16,2.0
826,경기하남,2016-03-16,2016-03-16,0.09
827,경기안산,2016-02-11,2016-02-11,0.2
828,경기양주,2016-03-16,2016-03-16,0.06
829,경기용인,2016-03-16,2016-03-16,0.09
830,경기수원,2017-11-30,2017-11-30,0.13
831,경기양평,2017-12-09,2017-12-09,0.02
832,경기군포,2017-12-10,2017-12-10,0.09
833,경기안양,2018-12-10,2018-12-10,0.01
834,경기남양주,2014-04-22,2014-04-22,0.3
835,경기포천,2014-04-22,2014-04-22,0.01
836,경기가평,2014-04-23,2014-04-23,0.04
837,경기파주,2014-04-23,2014-04-23,0.08
838,경기양평,2014-04-25,2014-04-25,0.01
839,경기용인,2016-03-17,2016-03-17,0.6
840,경기양평,2016-03-18,2016-03-18,0.3
841,경기가평,2016-03-19,2016-03-19,0.03
842,경기안성,2016-03-19,2016-03-19,0.6
843,경기가평,2016-03-19,2016-03-19,0.02
844,경기양평,2016-03-21,2016-03-21,0.2
845,경기안성,2016-03-22,2016-03-22,0.6
846,경기화성,2016-03-23,2016-03-23,0.1
847,경기양평,2016-03-24,2016-03-24,0.1
848,경기포천,2016-03-24,2016-03-24,0.2
849,경기남양주,2016-03-24,2016-03-24,0.5
850,경기파주,2016-03-27,2016-03-27,0.09
851,경기화성,2016-03-27,2016-03-27,0.9
852,경기화성,2016-03-28,2016-03-28,0.1
853,경기광주,2016-03-28,2016-03-28,0.3
854,경기이천,2016-03-28,2016-03-28,0.1
855,경기양주,2016-03-28,2016-03-28,0.2
856,경기화성,2016-03-28,2016-03-28,0.2
857,경기여주,2016-03-28,2016-03-28,0.04
858,경기부천,2018-12-23,2018-12-23,0.3
859,경기가평,2018-12-27,2018-12-27,0.03
860,경기남양주,2018-12-28,2018-12-28,0.3
861,경기화성,2018-12-28,2018-12-28,0.02
862,경기연천,2014-05-11,2014-05-11,0.3
863,경기안성,2014-05-18,2014-05-18,0.01
864,경기안성,2014-05-20,2014-05-23,0.05
865,경기포천,2014-05-23,2014-05-23,0.01
866,경기포천,2014-05-29,2014-05-29,0.02
867,경기안산,2014-05-29,2014-05-30,0.1
868,경기광주,2016-03-30,2016-03-30,0.1
869,경기남양주,2016-03-30,2016-03-30,0.8
870,경기포천,2016-03-30,2016-03-30,0.1
871,경기양주,2016-03-31,2016-03-31,8.3
872,경기하남,2016-03-31,2016-03-31,0.1
873,경기안양,2016-03-31,2016-03-31,0.4
874,경기포천,2016-03-31,2016-03-31,0.06
875,경기광주,2016-04-01,2016-04-01,2.6
876,경기이천,2016-04-01,2016-04-01,1.0
877,경기광주,2016-04-01,2016-04-01,0.3
878,경기양평,2016-04-01,2016-04-01,0.3
879,경기광주,2016-04-02,2016-04-03,2.0
880,경기광주,2016-04-02,2016-04-02,1.0
881,경기가평,2016-04-02,2016-04-02,7.0
882,경기안산,2014-07-07,2014-07-07,0.01
883,경기구리,2014-07-12,2014-07-12,0.01
884,경기가평,2014-07-18,2014-07-18,0.01
885,경기김포,2014-07-20,2014-07-20,0.6
886,경기남양주,2014-10-13,2014-10-13,0.02
887,경기양평,2014-10-16,2014-10-17,0.1
888,경기양평,2014-10-17,2014-10-17,0.5
889,경기양평,2014-10-17,2014-10-18,0.3
890,경기고양,2014-11-04,2014-11-04,0.02
891,경기용인,2014-11-09,2014-11-09,0.01
892,경기의정부,2014-11-10,2014-11-10,0.01
893,경기광주,2014-11-15,2014-11-15,0.1
894,경기남양주,2014-11-19,2014-11-19,0.01
895,경기연천,2014-11-21,2014-11-21,0.01
896,경기파주,2014-12-08,2014-12-08,0.01
897,경기포천,2016-04-04,2016-04-04,0.2
898,경기고양,2016-04-04,2016-04-04,0.39
899,경기파주,2016-04-05,2016-04-05,0.2
900,경기용인,2016-04-05,2016-04-05,0.16
901,경기이천,2016-04-06,2016-04-06,0.5
902,경기시흥,2016-04-06,2016-04-06,0.5
903,경기광주,2016-04-06,2016-04-06,0.6
904,경기군포,2016-04-06,2016-04-06,0.1
905,경기포천,2016-04-08,2016-04-08,0.5
906,경기이천,2016-04-10,2016-04-10,0.06
907,경기파주,2016-04-10,2016-04-10,2.0
908,경기하남,2016-04-10,2016-04-10,0.1
909,경기화성,2016-04-11,2016-04-11,0.09
910,경기화성,2016-04-11,2016-04-11,0.35
911,경기동두천,2016-04-11,2016-04-11,0.06
912,경기하남,2016-04-12,2016-04-12,0.5
913,경기포천,2016-04-15,2016-04-15,0.03
914,경기남양주,2016-04-15,2016-04-15,0.08
915,경기가평,2016-04-16,2016-04-16,0.7
916,경기가평,2016-04-16,2016-04-16,0.1
917,경기양주,2016-04-16,2016-04-16,0.01
918,경기시흥,2016-04-29,2016-04-29,0.1
919,경기광주,2016-05-14,2016-05-14,0.13
920,경기파주,2015-01-31,2015-02-01,0.13
921,경기광주,2015-02-04,2015-02-04,0.05
922,경기양주,2015-02-12,2015-02-12,0.01
923,경기광주,2015-02-12,2015-02-12,0.01
924,경기안성,2015-02-13,2015-02-13,0.01
925,경기양주,2015-02-26,2015-02-26,0.01
926,경기김포,2015-02-27,2015-02-27,0.01
927,경기고양,2015-02-27,2015-02-27,0.05
928,경기화성,2015-03-01,2015-03-01,0.01
929,경기화성,2016-05-20,2016-05-20,0.17
930,경기성남,2016-06-02,2016-06-02,0.1
931,경기광주,2016-06-05,2016-06-05,0.06
932,경기하남,2016-06-05,2016-06-06,0.49
933,경기과천,2016-06-06,2016-06-06,0.6
934,경기포천,2016-06-10,2016-06-10,0.1
935,경기가평,2016-07-11,2016-07-11,0.01
936,경기양평,2015-03-06,2015-03-06,0.01
937,경기양평,2015-03-06,2015-03-06,0.01
938,경기양평,2015-03-07,2015-03-07,0.01
939,경기양평,2015-03-07,2015-03-07,0.01
940,경기화성,2015-03-08,2015-03-08,0.01
941,경기가평,2015-03-09,2015-03-09,0.2
942,경기김포,2015-03-10,2015-03-10,0.05
943,경기화성,2015-03-10,2015-03-10,0.05
944,경기남양주,2015-03-10,2015-03-10,0.01
945,경기김포,2015-03-11,2015-03-11,0.02
946,경기광주,2015-03-11,2015-03-11,0.01
947,경기고양,2016-09-26,2016-09-26,0.01
948,경기안양,2016-10-22,2016-10-23,0.03
949,경기남양주,2016-11-24,2016-11-24,0.03
950,경기과천,2016-11-29,2016-11-29,0.06
951,경기과천,2016-12-01,2016-12-01,0.03
952,경기포천,2016-12-06,2016-12-06,0.05
953,경기안성,2016-12-15,2016-12-15,0.05
954,경기화성,2016-12-16,2016-12-16,0.04
955,경기고양,2016-12-21,2016-12-21,0.06
956,경기용인,2017-01-10,2017-01-10,0.2
957,경기군포,2017-11-05,2017-11-05,0.06
958,경기연천,2017-11-05,2017-11-05,0.2
959,경기포천,2017-11-09,2017-11-09,0.05
960,경기양평,2017-11-09,2017-11-09,0.08
961,경기광주,2015-03-12,2015-03-12,0.01
962,경기가평,2015-03-13,2015-03-13,0.05
963,경기화성,2015-03-13,2015-03-13,0.01
964,경기고양,2015-03-14,2015-03-14,0.01
965,경기가평,2015-03-14,2015-03-14,0.05
966,경기광주,2015-03-14,2015-03-14,0.4
967,경기가평,2015-03-14,2015-03-14,0.01
968,경기고양,2015-03-14,2015-03-14,0.01
969,경기안양,2015-03-14,2015-03-14,0.01
970,경기양평,2015-03-14,2015-03-14,0.2
971,경기안산,2015-03-14,2015-03-14,0.01
972,경기가평,2015-03-15,2015-03-15,0.01
973,경기화성,2015-03-17,2015-03-17,0.01
974,경기가평,2017-02-12,2017-02-12,0.3
975,경기화성,2017-02-12,2017-02-12,0.3
976,경기양평,2017-02-15,2017-02-15,0.01
977,경기광주,2017-02-16,2017-02-16,0.45
978,경기화성,2017-02-16,2017-02-16,0.2
979,경기양평,2017-02-18,2017-02-18,0.06
980,경기가평,2017-03-03,2017-03-03,0.1
981,경기안성,2017-03-04,2017-03-04,0.1
982,경기연천,2015-03-20,2015-03-20,0.01
983,경기동두천,2015-03-20,2015-03-20,0.04
984,경기남양주,2015-03-20,2015-03-20,0.05
985,경기안산,2015-03-21,2015-03-21,0.01
986,경기동두천,2015-03-21,2015-03-21,0.01
987,경기안산,2015-03-21,2015-03-21,0.01
988,경기남양주,2015-03-21,2015-03-21,0.05
989,경기양주,2015-03-21,2015-03-21,0.05
990,경기남양주,2015-03-21,2015-03-21,0.01
991,경기김포,2015-03-22,2015-03-22,0.01
992,경기파주,2015-03-22,2015-03-22,0.5
993,경기연천,2015-03-22,2015-03-22,0.01
994,경기파주,2015-03-22,2015-03-22,0.2
995,경기여주,2015-03-22,2015-03-22,50.7
996,경기고양,2015-03-22,2015-03-22,2.0
997,경기시흥,2015-03-22,2015-03-22,0.1
998,경기남양주,2015-03-22,2015-03-22,0.02
999,경기화성,2015-03-22,2015-03-22,0.01
1000,경기가평,2015-03-22,2015-03-22,0.02
1001,경기포천,2015-03-22,2015-03-23,2.0
1002,경기파주,2015-03-22,2015-03-22,0.01
1003,경기양평,2015-03-22,2015-03-23,4.9
1004,경기광주,2015-03-22,2015-03-22,0.02
1005,경기포천,2015-03-22,2015-03-23,0.2
1006,경기화성,2015-03-23,2015-03-23,0.01
1007,경기남양주,2015-03-23,2015-03-23,0.01
1008,경기화성,2017-03-08,2017-03-08,0.16
1009,경기화성,2017-03-09,2017-03-09,0.01
1010,경기가평,2017-03-10,2017-03-10,0.05
1011,경기양주,2017-03-10,2017-03-10,0.1
1012,경기양평,2017-03-10,2017-03-10,0.1
1013,경기화성,2017-03-10,2017-03-10,0.3
1014,경기동두천,2017-03-11,2017-03-11,0.72
1015,경기가평,2017-03-11,2017-03-11,0.03
1016,경기화성,2017-03-11,2017-03-11,0.5
1017,경기화성,2017-03-11,2017-03-11,0.09
1018,경기군포,2017-03-11,2017-03-11,0.23
1019,경기화성,2017-03-11,2017-03-11,0.03
1020,경기양평,2017-03-11,2017-03-11,0.3
1021,경기안성,2017-03-12,2017-03-12,0.5
1022,경기가평,2017-03-13,2017-03-13,0.1
1023,경기가평,2015-03-23,2015-03-23,0.05
1024,경기양주,2015-03-23,2015-03-23,0.01
1025,경기파주,2015-03-24,2015-03-24,0.01
1026,경기파주,2015-03-24,2015-03-24,0.01
1027,경기수원,2015-03-24,2015-03-24,0.2
1028,경기포천,2015-03-24,2015-03-25,3.3
1029,경기화성,2015-03-25,2015-03-25,0.01
1030,경기화성,2015-03-25,2015-03-25,0.01
1031,경기가평,2015-03-25,2015-03-25,0.02
1032,경기남양주,2015-03-26,2015-03-26,0.01
1033,경기가평,2015-03-26,2015-03-26,0.01
1034,경기남양주,2015-03-27,2015-03-27,0.12
1035,경기광명,2015-03-28,2015-03-28,0.02
1036,경기구리,2015-03-28,2015-03-28,0.01
1037,경기포천,2015-03-28,2015-03-28,0.1
1038,경기안산,2015-03-28,2015-03-28,0.05
1039,경기하남,2015-03-28,2015-03-28,0.01
1040,경기포천,2015-03-28,2015-03-28,1.2
1041,경기광주,2017-03-15,2017-03-15,0.09
1042,경기동두천,2017-03-15,2017-03-15,0.2
1043,경기양주,2017-03-15,2017-03-15,0.3
1044,경기남양주,2017-03-16,2017-03-16,0.1
1045,경기양평,2017-03-16,2017-03-16,0.1
1046,경기화성,2017-03-17,2017-03-17,0.05
1047,경기파주,2017-03-18,2017-03-18,0.05
1048,경기남양주,2017-03-18,2017-03-18,0.6
1049,경기화성,2017-03-18,2017-03-18,0.3
1050,경기포천,2017-03-18,2017-03-18,0.03
1051,경기남양주,2017-03-18,2017-03-18,0.1
1052,경기여주,2017-03-18,2017-03-18,0.3
1053,경기안성,2017-03-18,2017-03-18,0.2
1054,경기김포,2017-03-18,2017-03-18,3.0
1055,경기남양주,2017-03-18,2017-03-18,0.05
1056,경기남양주,2017-03-18,2017-03-18,0.02
1057,경기양평,2017-03-18,2017-03-18,2.0
1058,경기가평,2017-03-18,2017-03-18,0.15
1059,경기양평,2017-03-19,2017-03-19,1.3
