No,Column1,location,stdt,eddt,damagearea,경도,위도,상태
267,266,경기포천,2020-03-24,2020-03-24,0.5,127.237579,37.96766787,인근좌표
268,267,경기화성,2020-03-24,2020-03-24,0.03,126.9162557,37.15266119,인근좌표
269,268,경기광주,2020-03-24,2020-03-24,0.01,127.2917767,37.4004581,인근좌표
270,269,경기수원,2020-03-24,2020-03-24,0.01,127.0029967,37.31811976,인근좌표
271,270,경기포천,2020-03-25,2020-03-25,0.5,127.237579,37.96766787,인근좌표
272,271,경기안성,2020-03-25,2020-03-25,0.1,127.3059003,37.02476089,인근좌표
273,272,경기여주,2020-03-25,2020-03-25,0.06,127.644285,37.28762711,인근좌표
274,273,경기여주,2020-03-25,2020-03-25,0.05,127.644285,37.28762711,인근좌표
275,274,경기남양주,2020-03-25,2020-03-25,0.02,127.2580035,37.64296989,인근좌표
276,275,경기포천,2020-03-25,2020-03-25,0.05,127.237579,37.96766787,인근좌표
277,276,경기남양주,2020-03-26,2020-03-26,0.33,127.2580035,37.64296989,인근좌표
278,277,경기광주,2020-03-26,2020-03-26,0.02,127.2917767,37.4004581,인근좌표
279,278,경기오산,2020-03-28,2020-03-28,0.01,127.051305,37.1630728,인근좌표
280,279,경기안양,2020-03-28,2020-03-28,0.08,126.9027706,37.40454384,인근좌표
281,280,경기고양,2020-03-29,2020-03-29,0.04,126.8993676,37.66019018,인근좌표
282,281,경기화성,2020-03-29,2020-03-29,0.1,126.9162557,37.15266119,인근좌표
283,282,경기파주,2020-03-29,2020-03-29,0.03,126.8077119,37.84944357,인근좌표
284,283,경기가평,2020-03-29,2020-03-29,0.28,127.4076594,37.8112458,인근좌표
285,284,경기가평,2020-03-29,2020-03-29,0.54,127.4076594,37.8112458,인근좌표
286,285,경기양평,2020-03-30,2020-03-30,1,127.5810959,37.51899594,인근좌표
287,286,경기하남,2020-03-30,2020-03-30,0.05,127.2110935,37.5303375,인근좌표
288,287,경기고양,2020-03-30,2020-03-30,0.03,126.8993676,37.66019018,인근좌표
289,288,경기평택,2020-04-01,2020-04-01,3.75,127.0037131,37.02303199,인근좌표
290,289,경기가평,2020-04-01,2020-04-01,0.3,127.4076594,37.8112458,인근좌표
291,290,경기고양,2020-04-01,2020-04-01,1,126.8993676,37.66019018,인근좌표
292,291,경기파주,2020-04-01,2020-04-01,0.66,126.8077119,37.84944357,인근좌표
293,292,경기용인,2020-04-01,2020-04-01,0.17,127.2400364,37.22209372,인근좌표
294,293,경기파주,2020-04-02,2020-04-02,1.65,126.8077119,37.84944357,인근좌표
295,294,경기의왕,2020-04-02,2020-04-02,0.46,126.9891898,37.35795112,인근좌표
296,295,경기평택,2020-04-02,2020-04-03,0.01,127.0037131,37.02303199,인근좌표
297,296,경기가평,2020-04-03,2020-04-03,0.11,127.4076594,37.8112458,인근좌표
298,297,경기여주,2020-04-03,2020-04-03,0.03,127.644285,37.28762711,인근좌표
299,298,경기파주,2020-04-04,2020-04-04,0.06,126.8077119,37.84944357,인근좌표
300,299,경기의왕,2020-04-04,2020-04-04,1,126.9891898,37.35795112,인근좌표
301,300,경기남양주,2020-04-04,2020-04-04,6.2,127.2580035,37.64296989,인근좌표
302,301,경기시흥,2020-04-04,2020-04-04,0.05,126.8335661,37.39397721,인근좌표
303,302,경기양평,2020-04-05,2020-04-05,0.09,127.5810959,37.51899594,인근좌표
304,303,경기파주,2020-04-05,2020-04-05,0.2,126.8077119,37.84944357,인근좌표
305,304,경기화성,2020-04-05,2020-04-05,0.2,126.9162557,37.15266119,인근좌표
306,305,경기광주,2020-04-05,2020-04-05,2.7,127.2917767,37.4004581,인근좌표
307,306,경기파주,2020-04-05,2020-04-05,0.1,126.8077119,37.84944357,인근좌표
308,307,경기양주,2020-04-05,2020-04-05,0.01,127.0141132,37.80569311,인근좌표
309,308,경기시흥,2020-04-06,2020-04-06,0.03,126.8335661,37.39397721,인근좌표
310,309,경기남양주,2020-04-06,2020-04-06,0.1,127.2580035,37.64296989,인근좌표
311,310,경기의왕,2020-04-06,2020-04-06,0.06,126.9891898,37.35795112,인근좌표
312,311,경기파주,2020-04-07,2020-04-07,0.03,126.8077119,37.84944357,인근좌표
313,312,경기의왕,2020-04-08,2020-04-08,0.13,126.9891898,37.35795112,인근좌표
314,313,경기연천,2020-04-08,2020-04-08,0.1,127.0268198,38.08507414,인근좌표
315,314,경기파주,2020-04-08,2020-04-08,0.5,126.8077119,37.84944357,인근좌표
316,315,경기안양,2020-04-09,2020-04-09,0.64,126.9027706,37.40454384,인근좌표
317,316,경기남양주,2020-04-09,2020-04-09,1,127.2580035,37.64296989,인근좌표
318,317,경기여주,2020-04-09,2020-04-09,0.7,127.644285,37.28762711,인근좌표
319,318,경기여주,2020-04-10,2020-04-10,0.01,127.644285,37.28762711,인근좌표
320,319,경기고양,2020-04-10,2020-04-10,0.09,126.8993676,37.66019018,인근좌표
321,320,경기남양주,2020-04-10,2020-04-10,0.02,127.2580035,37.64296989,인근좌표
322,321,경기남양주,2020-04-10,2020-04-10,0.3,127.2580035,37.64296989,인근좌표
323,322,경기여주,2020-04-11,2020-04-11,0.01,127.644285,37.28762711,인근좌표
324,323,경기광주,2020-04-12,2020-04-12,0.06,127.2917767,37.4004581,인근좌표
325,324,경기평택,2020-04-12,2020-04-12,0.03,127.0037131,37.02303199,인근좌표
326,325,경기광주,2020-04-12,2020-04-12,0.06,127.2917767,37.4004581,인근좌표
327,326,경기고양,2020-04-12,2020-04-12,0.06,126.8993676,37.66019018,인근좌표
328,327,경기평택,2020-04-13,2020-04-13,0.05,127.0037131,37.02303199,인근좌표
329,328,경기남양주,2020-04-13,2020-04-13,0.1,127.2580035,37.64296989,인근좌표
330,329,경기오산,2020-04-13,2020-04-13,0.01,127.051305,37.1630728,인근좌표
331,330,경기가평,2020-04-13,2020-04-13,2.75,127.4076594,37.8112458,인근좌표
332,331,경기남양주,2020-04-14,2020-04-14,0.5,127.2580035,37.64296989,인근좌표
333,332,경기남양주,2020-04-14,2020-04-14,0.7,127.2580035,37.64296989,인근좌표
334,333,경기수원,2020-04-14,2020-04-14,3.56,127.0029967,37.31811976,인근좌표
335,334,경기시흥,2020-04-14,2020-04-14,0.13,126.8335661,37.39397721,인근좌표
336,335,경기과천,2020-04-14,2020-04-14,0.07,127.0038933,37.43419438,인근좌표
337,336,경기용인,2020-04-08,2020-04-08,0.09,127.2400364,37.22209372,인근좌표
338,337,경기광주,2020-04-14,2020-04-14,0.01,127.2917767,37.4004581,인근좌표
339,338,경기평택,2020-04-15,2020-04-15,0.25,127.0037131,37.02303199,인근좌표
340,339,경기평택,2020-04-15,2020-04-15,0.03,127.0037131,37.02303199,인근좌표
341,340,경기안성,2020-04-15,2020-04-15,0.1,127.3059003,37.02476089,인근좌표
342,341,경기안성,2020-04-15,2020-04-15,0.02,127.3059003,37.02476089,인근좌표
343,342,경기여주,2020-04-15,2020-04-16,0.1,127.644285,37.28762711,인근좌표
344,343,경기화성,2020-04-16,2020-04-16,0.01,126.9162557,37.15266119,인근좌표
345,344,경기군포,2020-04-16,2020-04-16,0.03,126.9207146,37.34179669,인근좌표
346,345,경기시흥,2020-04-16,2020-04-16,0.15,126.8335661,37.39397721,인근좌표
347,346,경기화성,2020-04-18,2020-04-18,0.01,126.9162557,37.15266119,인근좌표
348,347,경기화성,2020-04-18,2020-04-18,0.01,126.9162557,37.15266119,인근좌표
349,348,경기여주,2020-04-22,2020-04-22,0.01,127.644285,37.28762711,인근좌표
350,349,경기포천,2020-04-26,2020-04-26,0.5,127.237579,37.96766787,인근좌표
351,350,경기여주,2020-04-26,2020-04-26,0.01,127.644285,37.28762711,인근좌표
352,351,경기군포,2020-04-26,2020-04-26,0.33,126.9207146,37.34179669,인근좌표
353,352,경기연천,2020-04-27,2020-04-27,0.1,127.0268198,38.08507414,인근좌표
354,353,경기가평,2020-04-27,2020-04-27,0.02,127.4076594,37.8112458,인근좌표
355,354,경기연천,2020-04-28,2020-04-28,0.1,127.0268198,38.08507414,인근좌표
356,355,경기이천,2020-04-28,2020-04-28,0.05,127.4520008,37.20146617,인근좌표
357,356,경기화성,2020-04-29,2020-04-29,0.01,126.9162557,37.15266119,인근좌표
358,357,경기용인,2020-04-29,2020-04-29,0.05,127.2400364,37.22209372,인근좌표
359,358,경기포천,2020-04-29,2020-04-29,0.2,127.237579,37.96766787,인근좌표
360,359,경기용인,2020-04-30,2020-04-30,0.01,127.2400364,37.22209372,인근좌표
361,360,경기포천,2020-04-30,2020-04-30,0.12,127.237579,37.96766787,인근좌표
362,361,경기남양주,2020-04-30,2020-04-30,0.1,127.2580035,37.64296989,인근좌표
363,362,경기가평,2020-04-30,2020-04-30,0.59,127.4076594,37.8112458,인근좌표
364,363,경기성남,2020-05-01,2020-05-01,0.01,127.1037334,37.43511843,인근좌표
365,364,경기남양주,2020-05-06,2020-05-06,0.03,127.2580035,37.64296989,인근좌표
366,365,경기포천,2020-05-07,2020-05-07,0.02,127.237579,37.96766787,인근좌표
367,366,경기안성,2020-05-08,2020-05-08,0.1,127.3059003,37.02476089,인근좌표
368,367,경기이천,2020-06-08,2020-06-08,0.02,127.4520008,37.20146617,인근좌표
369,368,경기양평,2020-06-09,2020-06-09,0.04,127.5810959,37.51899594,인근좌표
370,369,경기하남,2020-06-09,2020-06-09,0.01,127.2110935,37.5303375,인근좌표
371,370,경기안성,2020-06-09,2020-06-09,0.1,127.3059003,37.02476089,인근좌표
372,371,경기남양주,2020-06-14,2020-06-14,0.02,127.2580035,37.64296989,인근좌표
373,372,경기화성,2020-06-16,2020-06-16,0.01,126.9162557,37.15266119,인근좌표
374,373,경기김포,2020-06-20,2020-06-20,0.02,126.6015557,37.68465337,인근좌표
375,374,경기고양,2020-06-20,2020-06-20,0.01,126.8993676,37.66019018,인근좌표
376,375,경기의왕,2020-06-21,2020-06-21,0.06,126.9891898,37.35795112,인근좌표
377,376,경기하남,2020-06-22,2020-06-22,0.07,127.2110935,37.5303375,인근좌표
378,377,경기광명,2020-06-23,2020-06-23,0.01,126.8674732,37.44833711,인근좌표
379,378,경기광명,2020-06-23,2020-06-23,0.01,126.8674732,37.44833711,인근좌표
380,379,경기가평,2020-10-07,2020-10-07,0.01,127.4076594,37.8112458,인근좌표
381,380,경기가평,2020-10-17,2020-10-17,0.01,127.4076594,37.8112458,인근좌표
382,381,경기군포,2020-10-19,2020-10-19,0.4,126.9207146,37.34179669,인근좌표
383,382,경기광주,2020-10-28,2020-10-28,0.1,127.2917767,37.4004581,인근좌표
384,383,경기화성,2020-10-29,2020-10-29,0.03,126.9162557,37.15266119,인근좌표
385,384,경기양평,2020-10-29,2020-10-29,0.1,127.5810959,37.51899594,인근좌표
386,385,경기의정부,2020-10-30,2020-10-30,0.04,127.0666545,37.73305139,인근좌표
387,386,경기파주,2020-10-31,2020-10-31,0.06,126.8077119,37.84944357,인근좌표
388,387,경기김포,2020-10-31,2020-10-31,0.05,126.6015557,37.68465337,인근좌표
389,388,경기성남,2020-11-04,2020-11-04,0.03,127.1037334,37.43511843,인근좌표
390,389,경기포천,2020-11-08,2020-11-08,0.01,127.237579,37.96766787,인근좌표
391,390,경기양주,2020-11-08,2020-11-08,0.03,127.0141132,37.80569311,인근좌표
392,391,경기포천,2020-12-01,2020-12-01,0.05,127.237579,37.96766787,인근좌표
393,392,경기파주,2020-12-02,2020-12-02,0.01,126.8077119,37.84944357,인근좌표
394,393,경기동두천,2020-12-04,2020-12-04,0.15,127.0669893,37.92058118,인근좌표
395,394,경기안성,2020-12-04,2020-12-04,0.05,127.3059003,37.02476089,인근좌표
396,395,경기포천,2020-12-06,2020-12-06,0.01,127.237579,37.96766787,인근좌표
397,396,경기여주,2020-12-07,2020-12-07,0.16,127.644285,37.28762711,인근좌표
398,397,경기고양,2020-12-07,2020-12-07,0.02,126.8993676,37.66019018,인근좌표
399,398,경기화성,2020-12-09,2020-12-09,0.07,126.9162557,37.15266119,인근좌표
400,399,경기하남,2020-01-30,2020-01-30,0.03,127.2110935,37.5303375,인근좌표
401,400,경기시흥,2020-02-01,2020-02-01,0.03,126.8335661,37.39397721,인근좌표
402,401,경기안성,2020-02-04,2020-02-04,0.06,127.3059003,37.02476089,인근좌표
403,402,경기용인,2020-02-04,2020-02-04,0.2,127.2400364,37.22209372,인근좌표
404,403,경기여주,2020-02-05,2020-02-05,0.09,127.644285,37.28762711,인근좌표
405,404,경기파주,2020-02-08,2020-02-08,0.01,126.8077119,37.84944357,인근좌표
406,405,경기파주,2020-02-08,2020-02-08,0.03,126.8077119,37.84944357,인근좌표
407,406,경기성남,2020-02-09,2020-02-09,0.01,127.1037334,37.43511843,인근좌표
408,407,경기평택,2020-02-10,2020-02-10,0.01,127.0037131,37.02303199,인근좌표
409,408,경기파주,2020-02-11,2020-02-11,0.03,126.8077119,37.84944357,인근좌표
410,409,경기동두천,2020-02-11,2020-02-11,0.2,127.0669893,37.92058118,인근좌표
411,410,경기여주,2020-02-11,2020-02-11,0.06,127.644285,37.28762711,인근좌표
412,411,경기파주,2020-02-24,2020-02-24,0.01,126.8077119,37.84944357,인근좌표
413,412,경기광명,2020-02-24,2020-02-24,0.01,126.8674732,37.44833711,인근좌표
414,413,경기파주,2020-03-04,2020-03-04,0.07,126.8077119,37.84944357,인근좌표
415,414,경기양평,2020-03-05,2020-03-05,0.03,127.5810959,37.51899594,인근좌표
416,415,경기이천,2020-03-05,2020-03-05,0.01,127.4520008,37.20146617,인근좌표
417,416,경기이천,2020-03-06,2020-03-06,0.2,127.4520008,37.20146617,인근좌표
418,417,경기김포,2020-03-07,2020-03-07,0.14,126.6015557,37.68465337,인근좌표
419,418,경기고양,2020-03-07,2020-03-07,0.02,126.8993676,37.66019018,인근좌표
420,419,경기남양주,2020-03-07,2020-03-07,0.15,127.2580035,37.64296989,인근좌표
421,420,경기양평,2020-03-08,2020-03-08,0.09,127.5810959,37.51899594,인근좌표
422,421,경기남양주,2020-03-09,2020-03-09,0.1,127.2580035,37.64296989,인근좌표
423,422,경기파주,2020-03-09,2020-03-09,0.01,126.8077119,37.84944357,인근좌표
424,423,경기안성,2020-03-09,2020-03-09,0.01,127.3059003,37.02476089,인근좌표
425,424,경기화성,2020-03-12,2020-03-12,0.03,126.9162557,37.15266119,인근좌표
426,425,경기시흥,2020-03-14,2020-03-14,0.03,126.8335661,37.39397721,인근좌표
427,426,경기양평,2020-03-14,2020-03-14,0.04,127.5810959,37.51899594,인근좌표
428,427,경기포천,2020-03-15,2020-03-15,0.1,127.237579,37.96766787,인근좌표
429,428,경기광명,2020-03-15,2020-03-15,0.04,126.8674732,37.44833711,인근좌표
430,429,경기여주,2020-03-15,2020-03-15,0.9,127.644285,37.28762711,인근좌표
431,430,경기안성,2020-03-15,2020-03-15,0.8,127.3059003,37.02476089,인근좌표
432,431,경기안양,2020-03-16,2020-03-16,0.07,126.9027706,37.40454384,인근좌표
433,432,경기양평,2020-03-16,2020-03-16,0.08,127.5810959,37.51899594,인근좌표
434,433,경기남양주,2020-03-17,2020-03-17,0.15,127.2580035,37.64296989,인근좌표
435,434,경기파주,2020-03-18,2020-03-18,0.03,126.8077119,37.84944357,인근좌표
436,435,경기광주,2020-03-19,2020-03-19,0.01,127.2917767,37.4004581,인근좌표
437,436,경기구리,2020-03-19,2020-03-19,1,129.4206627,35.70495594,인근좌표
438,437,경기광주,2020-03-19,2020-03-19,0.16,127.2917767,37.4004581,인근좌표
439,438,경기파주,2020-03-20,2020-03-20,0.02,126.8077119,37.84944357,인근좌표
440,439,경기남양주,2020-03-21,2020-03-21,0.17,127.2580035,37.64296989,인근좌표
441,440,경기안성,2020-03-21,2020-03-21,0.1,127.3059003,37.02476089,인근좌표
442,441,경기양평,2020-03-21,2020-03-21,0.01,127.5810959,37.51899594,인근좌표
443,442,경기포천,2020-03-21,2020-03-21,0.11,127.237579,37.96766787,인근좌표
444,443,경기여주,2020-03-22,2020-03-22,0.04,127.644285,37.28762711,인근좌표
445,444,경기광주,2020-11-03,2020-11-03,0.06,127.2917767,37.4004581,인근좌표
446,445,경기가평,2020-11-05,2020-11-05,0.03,127.4076594,37.8112458,인근좌표
447,446,경기수원,2020-11-07,2020-11-07,0.03,127.0029967,37.31811976,인근좌표
448,447,경기양평,2020-11-08,2020-11-08,0.03,127.5810959,37.51899594,인근좌표
449,448,경기동두천,2020-11-08,2020-11-08,0.5,127.0669893,37.92058118,인근좌표
450,449,경기가평,2020-11-08,2020-11-08,1.4,127.4076594,37.8112458,인근좌표
451,450,경기포천,2020-11-08,2020-11-08,0.03,127.237579,37.96766787,인근좌표
452,451,경기포천,2020-11-08,2020-11-08,0.1,127.237579,37.96766787,인근좌표
453,452,경기남양주,2020-11-08,2020-11-09,0.05,127.2580035,37.64296989,인근좌표
454,453,경기가평,2020-11-09,2020-11-09,0.18,127.4076594,37.8112458,인근좌표
455,454,경기가평,2020-11-10,2020-11-10,3,127.4076594,37.8112458,인근좌표
456,455,경기김포,2020-11-14,2020-11-14,0.26,126.6015557,37.68465337,인근좌표
457,456,경기파주,2020-11-14,2020-11-14,0.06,126.8077119,37.84944357,인근좌표
458,457,경기광주,2020-11-14,2020-11-14,0.06,127.2917767,37.4004581,인근좌표
459,458,경기포천,2020-11-15,2020-11-15,0.07,127.237579,37.96766787,인근좌표
460,459,경기성남,2020-11-16,2020-11-16,0.01,127.1037334,37.43511843,인근좌표
461,460,경기양평,2020-11-17,2020-11-17,0.01,127.5810959,37.51899594,인근좌표
462,461,경기화성,2020-12-09,2020-12-09,0.01,126.9162557,37.15266119,인근좌표
463,462,경기평택,2020-12-09,2020-12-09,0.01,127.0037131,37.02303199,인근좌표
464,463,경기의왕,2020-12-10,2020-12-10,0.01,126.9891898,37.35795112,인근좌표
465,464,경기화성,2020-12-12,2020-12-13,0.01,126.9162557,37.15266119,인근좌표
466,465,경기양평,2020-12-19,2020-12-19,0.15,127.5810959,37.51899594,인근좌표
467,466,경기안양,2020-12-23,2020-12-23,0.06,126.9027706,37.40454384,인근좌표
468,467,경기광주,2020-12-24,2020-12-24,0.05,127.2917767,37.4004581,인근좌표
469,468,경기남양주,2020-12-24,2020-12-24,0.01,127.2580035,37.64296989,인근좌표
470,469,경기평택,2020-12-27,2020-12-27,0.03,127.0037131,37.02303199,인근좌표
471,470,경기양평,2018-11-19,2018-11-19,0.06,127.5810959,37.51899594,인근좌표
472,471,경기가평,2018-11-20,2018-11-20,0.1,127.4076594,37.8112458,인근좌표
473,472,경기시흥,2018-12-08,2018-12-08,3,126.8335661,37.39397721,인근좌표
474,473,경기용인,2018-02-04,2018-02-05,0.15,127.2400364,37.22209372,인근좌표
475,474,경기화성,2018-02-05,2018-02-05,0.01,126.9162557,37.15266119,인근좌표
476,475,경기하남,2018-02-06,2018-02-06,0.04,127.2110935,37.5303375,인근좌표
477,476,경기화성,2018-02-10,2018-02-10,0.2,126.9162557,37.15266119,인근좌표
478,477,경기양주,2018-02-11,2018-02-11,0.06,127.0141132,37.80569311,인근좌표
479,478,경기광주,2018-02-13,2018-02-13,0.01,127.2917767,37.4004581,인근좌표
480,479,경기남양주,2018-02-13,2018-02-13,0.06,127.2580035,37.64296989,인근좌표
481,480,경기포천,2018-02-16,2018-02-16,0.5,127.237579,37.96766787,인근좌표
482,481,경기가평,2018-02-17,2018-02-17,0.3,127.4076594,37.8112458,인근좌표
483,482,경기안성,2018-02-17,2018-02-17,0.06,127.3059003,37.02476089,인근좌표
484,483,경기화성,2018-02-19,2018-02-19,0.01,126.9162557,37.15266119,인근좌표
485,484,경기화성,2018-02-25,2018-02-25,0.6,126.9162557,37.15266119,인근좌표
486,485,경기파주,2018-02-26,2018-02-26,0.1,126.8077119,37.84944357,인근좌표
487,486,경기파주,2018-02-26,2018-02-26,0.08,126.8077119,37.84944357,인근좌표
488,487,경기파주,2018-02-26,2018-02-26,0.09,126.8077119,37.84944357,인근좌표
489,488,경기양평,2018-03-11,2018-03-11,0.06,127.5810959,37.51899594,인근좌표
490,489,경기시흥,2018-03-11,2018-03-11,0.1,126.8335661,37.39397721,인근좌표
491,490,경기화성,2018-03-12,2018-03-12,0.03,126.9162557,37.15266119,인근좌표
492,491,경기광주,2018-03-12,2018-03-12,0.01,127.2917767,37.4004581,인근좌표
493,492,경기화성,2018-03-13,2018-03-13,0.16,126.9162557,37.15266119,인근좌표
494,493,경기파주,2018-03-13,2018-03-13,0.16,126.8077119,37.84944357,인근좌표
495,494,경기평택,2018-03-13,2018-03-13,0.08,127.0037131,37.02303199,인근좌표
496,495,경기안성,2018-03-14,2018-03-14,0.16,127.3059003,37.02476089,인근좌표
497,496,경기양평,2018-03-23,2018-03-23,0.1,127.5810959,37.51899594,인근좌표
498,497,경기파주,2018-03-25,2018-03-25,0.09,126.8077119,37.84944357,인근좌표
499,498,경기양주,2018-03-25,2018-03-25,0.16,127.0141132,37.80569311,인근좌표
500,499,경기양평,2018-03-26,2018-03-26,0.5,127.5810959,37.51899594,인근좌표
501,500,경기안성,2018-03-28,2018-03-28,0.07,127.3059003,37.02476089,인근좌표
502,501,경기파주,2018-03-28,2018-03-28,0.03,126.8077119,37.84944357,인근좌표
503,502,경기남양주,2018-03-29,2018-03-29,0.01,127.2580035,37.64296989,인근좌표
504,503,경기남양주,2018-03-30,2018-03-30,0.06,127.2580035,37.64296989,인근좌표
505,504,경기가평,2018-03-30,2018-03-30,0.5,127.4076594,37.8112458,인근좌표
506,505,경기포천,2018-03-30,2018-03-30,1.5,127.237579,37.96766787,인근좌표
507,506,경기남양주,2018-03-30,2018-03-30,0.1,127.2580035,37.64296989,인근좌표
508,507,경기수원,2018-03-31,2018-03-31,0.01,127.0029967,37.31811976,인근좌표
509,508,경기여주,2018-03-31,2018-03-31,0.5,127.644285,37.28762711,인근좌표
510,509,경기화성,2018-04-02,2018-04-02,0.09,126.9162557,37.15266119,인근좌표
511,510,경기여주,2018-04-03,2018-04-03,0.5,127.644285,37.28762711,인근좌표
512,511,경기남양주,2018-04-07,2018-04-07,0.03,127.2580035,37.64296989,인근좌표
513,512,경기고양,2018-04-10,2018-04-10,0.5,126.8993676,37.66019018,인근좌표
514,513,경기포천,2018-04-12,2018-04-12,0.1,127.237579,37.96766787,인근좌표
515,514,경기여주,2018-04-13,2018-04-13,0.5,127.644285,37.28762711,인근좌표
516,515,경기양평,2018-04-17,2018-04-17,0.1,127.5810959,37.51899594,인근좌표
517,516,경기광주,2018-04-20,2018-04-20,0.15,127.2917767,37.4004581,인근좌표
518,517,경기양평,2018-04-21,2018-04-21,0.6,127.5810959,37.51899594,인근좌표
519,518,경기광주,2018-04-21,2018-04-21,0.01,127.2917767,37.4004581,인근좌표
520,519,경기시흥,2018-04-21,2018-04-21,1,126.8335661,37.39397721,인근좌표
521,520,경기안양,2018-04-29,2018-04-29,0.15,126.9027706,37.40454384,인근좌표
522,521,경기양평,2021-02-12,2021-02-12,0.06,127.5810959,37.51899594,인근좌표
523,522,경기파주,2021-02-12,2021-02-12,0.02,126.8077119,37.84944357,인근좌표
524,523,경기남양주,2021-01-01,2021-01-01,0.03,127.2580035,37.64296989,인근좌표
525,524,경기광주,2021-01-01,2021-01-01,0.07,127.2917767,37.4004581,인근좌표
526,525,경기파주,2021-01-02,2021-01-02,0.03,126.8077119,37.84944357,인근좌표
527,526,경기고양,2021-01-02,2021-01-02,0.01,126.8993676,37.66019018,인근좌표
528,527,경기포천,2021-01-03,2021-01-03,0.03,127.237579,37.96766787,인근좌표
529,528,경기의정부,2021-01-05,2021-01-05,0.05,127.0666545,37.73305139,인근좌표
530,529,경기양평,2021-01-06,2021-01-06,0.01,127.5810959,37.51899594,인근좌표
